,JPM,rsi,MACD,Golden,Money Flow
2011-08-26,35.11,0,-1,0,0
2011-08-29,36.5,0,0,0,0
2011-08-30,35.94,0,0,0,0
2011-08-31,36.42,0,0,0,0
2011-09-01,35.2,0,0,0,0
2011-09-02,33.58,0,0,0,0
2011-09-06,32.43,0,0,-1,0
2011-09-07,33.77,0,0,0,0
2011-09-08,32.49,0,1,0,0
2011-09-09,31.11,0,0,0,0
2011-09-12,31.44,0,0,0,0
2011-09-13,31.51,0,0,-1,0
2011-09-14,31.81,0,0,-1,0
2011-09-15,32.79,0,0,-1,0
2011-09-16,32.42,0,0,-1,0
2011-09-19,31.51,0,0,-1,0
2011-09-20,31.27,0,0,0,0
2011-09-21,29.42,0,0,0,0
2011-09-22,28.38,0,0,0,0
2011-09-23,28.69,0,0,0,0
2011-09-26,30.69,1,0,0,1
2011-09-27,30.61,0,0,0,0
2011-09-28,29.55,0,0,0,0
2011-09-29,30.44,0,-1,0,0
2011-09-30,29.21,0,0,0,0
2011-10-03,27.78,0,1,0,0
2011-10-04,29.6,0,0,0,0
2011-10-05,30.17,0,-1,0,0
2011-10-06,31.68,0,0,0,0
2011-10-07,30.03,0,0,0,0
2011-10-10,31.6,0,0,0,0
2011-10-11,31.6,0,0,0,0
2011-10-12,32.48,0,0,0,0
2011-10-13,30.91,0,0,0,-1
2011-10-14,31.2,0,0,1,0
2011-10-17,30.36,0,0,0,0
2011-10-18,32.15,0,0,0,0
2011-10-19,31.55,0,0,0,0
2011-10-20,32.41,0,0,0,0
2011-10-21,32.69,0,0,0,0
2011-10-24,33.82,0,0,0,0
2011-10-25,32.76,0,0,0,-1
2011-10-26,33.44,0,0,0,0
2011-10-27,36.21,0,0,0,0
2011-10-28,35.89,-1,0,0,-1
2011-10-31,34.0,0,0,0,0
2011-11-01,32.0,0,0,0,0
2011-11-02,32.91,0,0,0,0
2011-11-03,33.63,0,0,0,0
2011-11-04,33.23,0,0,0,0
2011-11-07,33.49,0,0,0,0
2011-11-08,34.26,0,0,0,0
2011-11-09,31.83,0,1,0,0
2011-11-10,32.03,0,0,0,0
2011-11-11,32.56,0,0,0,0
2011-11-14,31.84,0,0,0,0
2011-11-15,31.99,0,0,0,0
2011-11-16,30.79,0,0,0,0
2011-11-17,29.83,0,0,-1,0
2011-11-18,29.95,1,0,0,0
2011-11-21,29.26,0,0,0,0
2011-11-22,28.77,0,0,0,0
2011-11-23,27.76,0,0,0,0
2011-11-25,27.86,0,0,0,0
2011-11-28,28.53,0,0,0,1
2011-11-29,27.94,0,0,0,0
2011-11-30,30.3,1,0,0,1
2011-12-01,29.8,0,0,0,0
2011-12-02,31.63,0,-1,0,0
2011-12-05,32.78,0,0,0,0
2011-12-06,32.51,0,0,0,0
2011-12-07,33.26,0,0,0,0
2011-12-08,31.52,0,0,0,0
2011-12-09,32.46,0,0,0,0
2011-12-12,31.34,0,0,0,0
2011-12-13,30.61,0,0,1,0
2011-12-14,30.82,0,0,0,0
2011-12-15,31.07,0,0,0,0
2011-12-16,31.2,0,0,0,0
2011-12-19,30.03,0,1,0,0
2011-12-20,31.51,0,-1,0,0
2011-12-21,31.62,0,0,0,0
2011-12-22,32.72,0,0,0,0
2011-12-23,32.84,0,0,0,0
2011-12-27,32.31,0,0,0,0
2011-12-28,31.94,0,0,0,0
2011-12-29,32.69,0,0,0,0
2011-12-30,32.53,0,0,0,0
